[2026-02-02 15:56:30] koyururi-jinja.com   | 133.32.130.166 | PC      | Chrome  | Direct/Bookmark | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-02-02 15:56:31] koyururi-jinja.com   | 133.32.130.166 | PC      | Chrome  | koyururi-jinja.com | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-02-02 16:32:37] koyururi-jinja.com   | 147.92.179.108 | PC      | 不明  | 直接アクセス | facebookexternalhit/1.1;line-poker/1.0
[2026-02-02 16:35:51] koyururi-jinja.com   | 27.89.50.137 | iPhone  | Safari  | Google検索    | Mozilla/5.0 (iPhone; CPU iPhone OS 18_7_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/144.0.7559.95 Mobile/15E148 Safari/604.1
[2026-02-02 16:48:20] koyururi-jinja.com   | 180.58.58.102 | PC      | Chrome  | Google検索    | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-02-02 16:48:41] koyururi-jinja.com   | 180.58.58.102 | PC      | Chrome  | koyururi-jinja.com | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-02-02 16:51:31] koyururi-jinja.com   | 172.225.46.215 | iPhone  | Safari  | 直接アクセス | Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.2 Mobile/15E148 Safari/604.1
[2026-02-02 18:23:52] koyururi-jinja.com   | 42.83.147.54 | PC      | Chrome  | 直接アクセス | Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)Chrome/74.0.3729.169 Safari/537.36
[2026-02-02 19:52:16] koyururi-jinja.com   | 43.159.145.149 | iPhone  | Safari  | koyururi-jinja.com | Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1
[2026-02-02 23:59:00] koyururi-jinja.com   | 104.28.99.204 | iPhone  | 不明  | 直接アクセス | Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148
[2026-02-03 01:21:03] koyururi-jinja.com   | 146.174.162.176 | PC      | Firefox | 直接アクセス | Mozilla/5.0 (Windows NT 6.2; rv:22.0) Gecko/20130405 Firefox/23.0
[2026-02-03 02:07:41] koyururi-jinja.com   | 43.166.239.145 | iPhone  | Safari  | koyururi-jinja.com | Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1
[2026-02-03 02:49:47] koyururi-jinja.com   | 195.78.54.50 | PC      | Chrome  | koyururi-jinja.com | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36
[2026-02-03 02:53:36] koyururi-jinja.com   | 54.244.40.200 | PC      | Chrome  | 直接アクセス | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2026-02-03 02:53:37] koyururi-jinja.com   | 54.244.40.200 | PC      | Chrome  | koyururi-jinja.com | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2026-02-03 02:53:37] koyururi-jinja.com   | 54.244.40.200 | PC      | Chrome  | koyururi-jinja.com | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2026-02-03 02:53:37] koyururi-jinja.com   | 54.244.40.200 | PC      | Chrome  | koyururi-jinja.com | Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Safari/537.36
[2026-02-03 05:05:57] koyururi-jinja.com   | 206.168.34.42 | PC      | 不明  | 直接アクセス | Mozilla/5.0 (compatible; CensysInspect/1.1; +https://about.censys.io/)
[2026-02-03 06:37:44] koyururi-jinja.com   | 205.210.31.48 | PC      | 不明  | 直接アクセス | Hello from Palo Alto Networks, find out more about our scans in https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity
[2026-02-03 08:20:46] koyururi-jinja.com   | 111.89.75.69 | Android | Chrome  | Google検索    | Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36
[2026-02-03 08:20:48] koyururi-jinja.com   | 111.89.75.69 | Android | Chrome  | koyururi-jinja.com | Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36
[2026-02-03 08:20:49] koyururi-jinja.com   | 66.102.6.32 | Android | Chrome  | 直接アクセス | Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 (compatible; Google-Read-Aloud; +https://support.google.com/webmasters/answer/1061943)
[2026-02-03 08:20:50] koyururi-jinja.com   | 66.102.6.33 | Android | Chrome  | 直接アクセス | Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/138.0.0.0 Mobile Safari/537.36 (compatible; Google-Read-Aloud; +https://support.google.com/webmasters/answer/1061943)
[2026-02-03 08:46:56] koyururi-jinja.com   | 43.166.255.122 | iPhone  | Safari  | koyururi-jinja.com | Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1
[2026-02-03 12:21:26] koyururi-jinja.com   | 147.185.132.237 | PC      | 不明  | 直接アクセス | Hello from Palo Alto Networks, find out more about our scans in https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity
[2026-02-03 13:40:18] koyururi-jinja.com   | 49.109.153.26 | Android | Chrome  | Google検索    | Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36
[2026-02-03 15:19:33] koyururi-jinja.com   | 198.235.24.8 | PC      | 不明  | 直接アクセス | Hello from Palo Alto Networks, find out more about our scans in https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity
[2026-02-03 15:28:45] koyururi-jinja.com   | 43.166.136.24 | iPhone  | Safari  | koyururi-jinja.com | Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1
[2026-02-03 17:08:58] koyururi-jinja.com   | 180.20.164.215 | PC      | Chrome  | Google検索    | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-02-03 17:09:08] koyururi-jinja.com   | 180.20.164.215 | PC      | Chrome  | koyururi-jinja.com | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Safari/537.36
[2026-02-03 17:43:30] koyururi-jinja.com   | 72.14.201.171 | Android | Chrome  | Google検索    | Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36
[2026-02-03 17:45:37] koyururi-jinja.com   | 1.73.17.70 | Android | Chrome  | koyururi-jinja.com | Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36
[2026-02-03 17:56:16] koyururi-jinja.com   | 1.73.17.70 | Android | Chrome  | koyururi-jinja.com | Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/144.0.0.0 Mobile Safari/537.36
[2026-02-03 17:59:25] koyururi-jinja.com   | 147.92.179.106 | PC      | 不明  | 直接アクセス | facebookexternalhit/1.1;line-poker/1.0
[2026-02-03 18:24:46] koyururi-jinja.com   | 5.133.192.166 | PC      | Chrome  | 直接アクセス | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36
[2026-02-03 20:28:04] koyururi-jinja.com   | 104.28.208.85 | PC      | Chrome  | 直接アクセス | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.6422.76 Safari/537.36
[2026-02-03 20:28:05] koyururi-jinja.com   | 104.28.208.85 | PC      | Chrome  | 直接アクセス | Mozilla/5.0 (Macintosh; Intel Mac OS X 14_6_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Safari/537.36 OPR/114.0.0.0
