[2026-03-01 00:22:04] koyururi-jinja.com   | 192.71.12.112 | Android | Firefox | koyururi-jinja.com | Mozilla/5.0 (Android 14; Mobile; rv:123.0) Gecko/123.0 Firefox/123
[2026-03-01 01:45:37] koyururi-jinja.com   | 104.197.69.115 | PC      | Chrome  | 直接アクセス | Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36
[2026-03-01 01:45:42] koyururi-jinja.com   | 205.169.39.0 | PC      | Chrome  | 直接アクセス | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.5938.132 Safari/537.36
[2026-03-01 03:51:51] koyururi-jinja.com   | 43.130.71.237 | iPhone  | Safari  | koyururi-jinja.com | Mozilla/5.0 (iPhone; CPU iPhone OS 13_2_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/13.0.3 Mobile/15E148 Safari/604.1
[2026-03-01 05:48:51] koyururi-jinja.com   | 100.26.142.243 | PC      | Chrome  | 直接アクセス | Mozilla/5.0 (Windows; U; Windows NT 6.0; en-US) AppleWebKit/534.14 (KHTML, like Gecko) Chrome/9.0.601.0 Safari/534.14
[2026-03-01 06:28:43] koyururi-jinja.com   | 93.158.127.79 | PC      | Chrome  | koyururi-jinja.com | Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/122.0.0.0 Safari/537.3
[2026-03-01 08:47:28] koyururi-jinja.com   | 198.235.24.19 | PC      | 不明  | 直接アクセス | Hello from Palo Alto Networks, find out more about our scans in https://docs-cortex.paloaltonetworks.com/r/1/Cortex-Xpanse/Scanning-activity
[2026-03-01 10:07:45] koyururi-jinja.com   | 147.92.179.105 | PC      | 不明  | 直接アクセス | facebookexternalhit/1.1;line-poker/1.0
[2026-03-01 10:07:45] koyururi-jinja.com   | 147.92.179.105 | PC      | 不明  | 直接アクセス | facebookexternalhit/1.1;line-poker/1.0
[2026-03-01 10:07:45] koyururi-jinja.com   | 147.92.179.105 | PC      | 不明  | 直接アクセス | facebookexternalhit/1.1;line-poker/1.0
[2026-03-01 10:07:46] koyururi-jinja.com   | 147.92.179.115 | PC      | 不明  | 直接アクセス | facebookexternalhit/1.1;line-poker/1.0
